Hi We're the Pop-Bots,12
We're here to introduce ourselves,12
We are here to help you with stress,12
Sounds good,2
Yes,12
Awesome,12
May we have your name please,5
Not right now,9
Nice to meet you We hope we can help you when you need us,5
Just say hi when you want to talk to us,5
Hi,2
how are you,9
Checkin changed the chat colours,5
Pop set his own nickname to Sir Laughs,2
Hi I'm Sir Laughs Bot,5
I'm here to help you deal with your stress,12
Could you share something that's on your mind that is stressing you out,9
So much work,9
Ok tell me more detail about this situation,5
There's school work and managing myself,15
Thank you for sharing,5
That does sound stressful,11
Ok let's try looking at this situation in a different light,12
I want you to take a few minutes to come up with a joke about this situation,12
Would you like an example,5
Yes please,12
For example if you are hungry and you are stuck in traffic,12
This might be a good joke,2
Why do French people eat snails,13
Because they don't like fast food,13
Don't worry about it being the best joke just find something humorous about your situation,11
Can you please tell me your joke,9
I really cant joke about this right now it is quite stressful,9
Good joke,2
Sometimes there are good things that happen even if the situation isn't the best,13
Ohh,6
Did that help you to find something good (or at least funny) about the situation,9
Perhaps,11
I'm glad Would you consider trying this strategy such as finding a joke in the future,12
I'm not sure,5
Do you think Sir Laughs Bot helps you to reduce stress Almost no help neutral or very helpful,9
Neutral,5
Thank you for sharing with me I hope I've been able to help,12
Have a nice day,13
Thanks,2
Restart,5
Hi,2
Sir Laughs changed the chat colours,5
Pop set his own nickname to Treat yourself,2
Hi I'm Treat yourself Bot,2
I'm here to help you deal with your stress,12
What's on your mind that is stressing you out,9
Perhaps I dont like the food I'm eating,14
Oh sorry to hear that Could you give me more information about dont,6
It's just not what I want right now,15
Imagine a close friend came to you with a similar problem,2
How would you support them,9
Tell them to order whatever they want,13
What do you think are the benefits of offering this kind of support,12
You're taking charge of the situation,12
Do you have a friend you could go to for this type of support,2
Sure,5
Could you make a plan of when to connect with this person,11
Could you help with that,11
Awesome friends can often provide the best support,12
It's great that you have made time to prioritize yourself,12
Thanks,13
Do you think Treat yourself Bot helps you to reduce stress Almost no help neutral or very helpful,5
Helpful,11
Thank you for sharing with me I hope I've been able to help,2
Have a nice day,13
You too,2
Hi,2
Treat yourself changed the chat colours,5
Pop set his own nickname to Checkin,13
Hi I'm Checkin Bot,2
I'm here to help you deal with your stress,12
Can you tell me about a recent situation that is stressing you out,9
